,booking_id,booking_dt,release_dt,booking_charge_desc,booking_charge_txt,charge_release_dt,title_txt,cause_num,jurisdiction_cd,release_disposition_desc,post_flg,gender_desc,race_desc,hash_id,amer_indian_alaskan,asian_pacific_island,black,hispanic,unknown,white,female,male,place_of_birth,country_of_birth,born_in_us,time_detained,log_time_detained,admin_booking,release_to_imm,cancel_detainer,imm_hold,final_release_disp,charge_count,charge_topcount,category,type,seriousness,max_seriousness,max_charge_type,max_charge_desc,drug,other,property,public_order,sex,violent,felony,misdemeanor
19679,43f38258a1b9d02d796219101c35cdcf3fb22c71,2016-10-06 15:51:00,2016-10-11 09:00:00,DWLS/R 1ST/2ND,,2016-10-11 09:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",16-1-01858-2,SUP,WSI Chain,Y,MALE,WHITE,28b771354b481d865ae81b0965df13c8053d7a54,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,4.714583333333334,1.5506605417316008,0,0,0,0,WSI Chain,3,3,gross misdemeanor,public_order,3.0,4.0,public_order,FEL PUR/ELUDE,0,0,0,1,0,0,1,0
19717,4416c92006616f81b496440987edd1bc9310a5d1,2018-06-14 09:03:00,2018-06-19 08:00:00,THEFT OF MV,,2018-06-15 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Not Guilty Verdict",15-1-03790-2,SUP,Not Guilty Verdict,N,MALE,BLACK,6cb3e69fd8afb32fec12529044ff8d9cb49b5f38,0,0,1,0,0,0,0,1,FLORIDA,UNITED STATES OF AMERICA,True,4.95625,1.6006494064010208,0,0,0,0,WSI Chain,4,4,class B felony,property,5.0,5.0,property,THEFT OF MV,0,0,1,0,0,0,1,0
19728,4419d926e74a2d3223759e1113bff5be018d8a20,2018-06-06 12:25:00,2018-06-21 08:15:00,BURGLARY 2,,2018-06-21 08:15:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PDC",16-1-04623-3,SUP,PDC,N,MALE,WHITE,3fcd2db2e49b954e8c88908e5d0d99ce94d9cc5f,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,14.826388888888891,2.6964086260867246,0,0,0,0,PDC,6,6,class B felony,property,5.0,5.0,property,TRAFFICKING STOL PROP 1,0,0,1,0,0,0,1,0
19729,4419d926e74a2d3223759e1113bff5be018d8a20,2018-06-06 12:25:00,2018-06-21 08:15:00,PSP 3,,2018-06-21 08:15:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PDC",16-1-04623-3,SUP,PDC,N,MALE,WHITE,8d1e4ec6914df7d565d80d80099fb74d573b1809,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,14.826388888888891,2.6964086260867246,0,0,0,0,PDC,6,6,gross misdemeanor,property,3.0,5.0,property,TRAFFICKING STOL PROP 1,0,0,1,0,0,0,1,0
19740,44245aa91d807cffe3b92eb6ef7343cece04d4b9,2017-06-30 15:25:00,2017-06-30 17:30:00,IDENT THFT 2,,2017-06-30 17:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Administrative Booking",17-1-02319-3,SUP,Administrative Booking,N,FEMALE,HISPANIC,05f88b0dc1549b1ab6b7b9e7f8b9b05e3fc99440,0,0,0,1,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.08680555555555555,-2.444084655267745,1,0,0,0,Administrative Booking,3,3,class C felony,public_order,4.0,4.0,public_order,IDENT THFT 2,0,0,0,1,0,0,1,0
19741,44245aa91d807cffe3b92eb6ef7343cece04d4b9,2017-06-30 15:25:00,2017-06-30 17:30:00,FORGERY,,2017-06-30 17:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Administrative Booking",17-1-02319-3,SUP,Administrative Booking,N,FEMALE,HISPANIC,3ec1f23bb0d5167b8cefc979758edc8411ae1775,0,0,0,1,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.08680555555555555,-2.444084655267745,1,0,0,0,Administrative Booking,3,3,class C felony,public_order,4.0,4.0,public_order,IDENT THFT 2,0,0,0,1,0,0,1,0
19742,44245aa91d807cffe3b92eb6ef7343cece04d4b9,2017-06-30 15:25:00,2017-06-30 17:30:00,THEFT 3,,2017-06-30 17:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Administrative Booking",17-1-02319-3,SUP,Administrative Booking,N,FEMALE,HISPANIC,c37540e83d525ba97f3005aa5c1269879660d80c,0,0,0,1,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.08680555555555555,-2.444084655267745,1,0,0,0,Administrative Booking,3,3,gross misdemeanor,property,3.0,4.0,public_order,IDENT THFT 2,0,0,0,1,0,0,1,0
19743,4424cf5672b2fe65001291050abdd3d18a8e1acc,2016-12-18 11:30:00,2017-01-09 19:40:00,DWI,,2016-12-29 13:53:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Credit for Time Served",2ZC002179,PD1,Credit for Time Served,N,FEMALE,AMER INDIAN/ALASKAN,b433cbe9b78c687b0d341f05e41283c8b5050efd,1,0,0,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,22.340277777777782,3.1063912276630257,0,0,0,0,Dismissed,4,4,gross misdemeanor,public_order,3.0,5.0,property,PSP 1,0,0,1,0,0,0,1,0
19744,4424cf5672b2fe65001291050abdd3d18a8e1acc,2016-12-18 11:30:00,2017-01-09 19:40:00,DWLS/R 1ST/2ND,2ND,2017-01-07 08:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Time Served",2Z0428651,PD1,Time Served,N,FEMALE,AMER INDIAN/ALASKAN,e534b68a110e28b652980d1714c7b83eb8bacaf3,1,0,0,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,22.340277777777782,3.1063912276630257,0,0,0,0,Dismissed,4,4,gross misdemeanor,public_order,3.0,5.0,property,PSP 1,0,0,1,0,0,0,1,0
19750,4426cd5320b81f31fe03a93d99588a11072572a0,2017-01-11 00:26:00,2017-03-23 08:00:00,COMM CUSTODY JAIL,ATT UPCS,2017-02-06 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Time Served",121023553,DOC,Time Served,N,MALE,WHITE,5261e2a5360e59e67802f4a5635367fa3a2eca7f,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,71.31527777777778,4.267110579049868,0,0,0,0,WSI Chain,2,2,other,other,0.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
19790,444c78a5aa4e6aa99c48ea7d0b79563d20072c31,2018-03-29 12:22:00,2018-04-02 08:45:00,FORGERY,,2018-03-30 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PR",18-1-00189-9,SUP,PR,N,MALE,WHITE,36ef23aed54591ae54edcc200149c177213f5568,0,0,0,0,0,1,0,1,ALASKA,UNITED STATES OF AMERICA,True,3.849305555555556,1.3478927568497585,0,0,0,0,Mini-Chain,2,2,class C felony,public_order,4.0,4.0,public_order,FORGERY,0,0,0,1,0,0,1,0
19804,445bb79ba114f2abd552582c6a62f762c60aac08,2016-10-22 23:27:00,2016-11-08 11:30:00,UPCS,,2016-10-24 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF Final",,SUP,NCF Final,N,MALE,ASIAN/PACIFIC ISLAND,b6808a5ef1084231911cc5d1e87a5ae943f95654,0,1,0,0,0,0,0,1,OREGON,UNITED STATES OF AMERICA,True,16.502083333333335,2.803486635562343,0,0,0,0,Court Order,2,2,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
19805,445bb79ba114f2abd552582c6a62f762c60aac08,2016-10-22 23:27:00,2016-11-08 11:30:00,CRIM TRESP 2,,2016-11-04 16:54:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Court Order",C70937,PUYM,Court Order,N,MALE,ASIAN/PACIFIC ISLAND,16eb8aacc5c69cf1834a988abca42525ffa348f6,0,1,0,0,0,0,0,1,OREGON,UNITED STATES OF AMERICA,True,16.502083333333335,2.803486635562343,0,0,0,0,Court Order,2,2,misdemeanor,property,2.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
19806,445bb79ba114f2abd552582c6a62f762c60aac08,2016-10-22 23:27:00,2016-11-08 11:30:00,THEFT 3RD,,2016-11-08 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Court Order",B253367,TACM,Court Order,N,MALE,ASIAN/PACIFIC ISLAND,1d2b3cb43db1ae6e6547c0e1e36ed5dd3550b7ad,0,1,0,0,0,0,0,1,OREGON,UNITED STATES OF AMERICA,True,16.502083333333335,2.803486635562343,0,0,0,0,Court Order,2,2,gross misdemeanor,property,3.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
19836,4484cc24271b2e38bcd157b53946b7093ff52f42,2017-03-30 18:35:00,2017-05-19 08:30:00,FEL DV CRT ORD VIO,,2017-03-31 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF TacM",,SUP,NCF TacM,N,MALE,WHITE,55b82f8299972e8bb8cf497b64a9f7f872a50b67,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,49.579861111111114,3.903584725294349,0,0,0,0,Probation/Parole Officer,3,3,class C felony,violent,4.0,4.0,violent,FEL DV CRT ORD VIO,0,0,0,0,0,1,1,0
19838,4484cc24271b2e38bcd157b53946b7093ff52f42,2017-03-30 18:35:00,2017-05-19 08:30:00,COMM CUSTODY JAIL,,2017-04-19 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Time Served",151024185,DOC,Time Served,Y,MALE,WHITE,dd92d4c0e3be268b2d85e0269def486e9856d936,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,49.579861111111114,3.903584725294349,0,0,0,0,Probation/Parole Officer,3,3,other,other,0.0,4.0,violent,FEL DV CRT ORD VIO,0,0,0,0,0,1,1,0
19843,448562ffc8d6939bc5cdb55148ba1c1a4e7fe1cb,2017-08-06 04:37:00,2017-09-27 11:15:00,UPCS,,2017-09-27 11:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",16-1-02512-1,SUP,WSI Chain,N,FEMALE,BLACK,1dbc60adcd211ca5d23e0f5e9adad4e43f309fa0,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,52.276388888888896,3.9565448138548898,0,0,0,0,WSI Chain,4,4,class C felony,drug,4.0,4.0,public_order,ESCAPE 2,0,0,0,1,0,0,1,0
19844,448562ffc8d6939bc5cdb55148ba1c1a4e7fe1cb,2017-08-06 04:37:00,2017-09-27 11:15:00,UPCS,,2017-09-27 11:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",17-1-02980-9,SUP,WSI Chain,N,FEMALE,BLACK,efd4384ced34d8dbe7075b3b4ccb5050fefc79ef,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,52.276388888888896,3.9565448138548898,0,0,0,0,WSI Chain,4,4,class C felony,drug,4.0,4.0,public_order,ESCAPE 2,0,0,0,1,0,0,1,0
19845,44860e9775b3882b2328e0c2e9c2f64abf413b80,2016-09-23 02:29:00,2016-10-23 08:00:00,DWLS/R 1ST/2ND,,2016-10-23 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",6ZC002439,PD1,Bail Bond,N,MALE,WHITE,35cd08d3ce00fdddc4297a1996274a8b1f14c843,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,30.229861111111113,3.4088302143749614,0,0,0,0,Time Served,2,2,gross misdemeanor,public_order,3.0,3.0,public_order,DWLS/R 1ST/2ND,0,0,0,1,0,0,0,1
19876,44a9711d50744c745f7c45ba9c328e0c314100b3,2018-01-22 08:53:00,2018-05-08 08:00:00,UNL POSS FIREARM 2,,2018-05-04 18:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Dismissed",18-1-00338-7,SUP,Dismissed,N,MALE,WHITE,d22042b6ca931a645199ce527589354a4d28280c,0,0,0,0,0,1,0,1,ILLINOIS,UNITED STATES OF AMERICA,True,105.96319444444444,4.663091811594251,0,0,0,0,WSI Chain,3,3,class C felony,public_order,4.0,5.0,public_order,POSSESSION OF UNLAWFUL FIREARMS,0,0,0,1,0,0,1,0
19880,44aa619e67926ac97b6ab4eefef23b1e9e241e32,2017-10-17 19:53:00,2018-04-18 11:30:00,ROBBERY 2,,2018-04-16 11:14:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Credit for Time Served",17-1-04000-4,SUP,Credit for Time Served,N,MALE,WHITE,032b135ef3a3655fb0e8d3b4563b7e2a6f21aa7f,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,182.65069444444444,5.207575555284129,0,0,0,0,Mini-Chain,3,3,class B felony,violent,5.0,5.0,violent,ROBBERY 2,0,0,0,0,0,1,1,0
19894,44bcbb51d413846cfcb633c75ed080ecd0d9edc4,2018-03-27 17:22:00,2018-03-29 08:30:00,COMM CUSTODY JAIL,,2018-03-29 08:30:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Probation/Parole Officer",141026813,DOC,Probation/Parole Officer,N,MALE,HISPANIC,65e4764aadf82a79d10be39d217e80940c7914d0,0,0,0,1,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,1.6305555555555555,0.4889207883779407,0,0,0,0,Probation/Parole Officer,1,1,other,other,0.0,2.0,public_order,DWLS/DWLR,0,0,0,1,0,0,0,1
19895,44bcbb51d413846cfcb633c75ed080ecd0d9edc4,2018-03-27 17:22:00,2018-03-29 08:30:00,DWLS/DWLR,,2018-03-28 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Court Order",,TACM,Court Order,N,MALE,HISPANIC,bcaf28faf21cfda11ff961f184665459ee7c87eb,0,0,0,1,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,1.6305555555555555,0.4889207883779407,0,0,0,0,Probation/Parole Officer,1,1,misdemeanor,public_order,2.0,2.0,public_order,DWLS/DWLR,0,0,0,1,0,0,0,1
19904,44ccd552ccac3c519b67ddcd1d2dd8353f3675c6,2017-06-11 13:52:00,2017-06-11 16:55:00,ASSAULT 4 /DV,,2017-06-11 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Cash Bail",,PD1,Cash Bail,N,FEMALE,BLACK,ae10c64a1c24e8912639099ed37caad5122a1972,0,0,1,0,0,0,1,0,TENNESSEE,UNITED STATES OF AMERICA,True,0.12708333333333333,-2.0629122397286253,0,0,0,0,Cash Bail,0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
19909,44d7f3e6fd642e9f6b7e5a9a51d6b89dadede6f0,2018-03-27 01:21:00,2018-03-27 04:10:00,DWI,,2018-03-27 05:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,PD1,Bail Bond,N,FEMALE,WHITE,af66e0514351ea98e8f9156d6c6c8f5582da31d0,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.11736111111111112,-2.1424996776469727,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
19933,44fa9a98cae5ddbf5e69a051becc19a8f1e0c05f,2017-07-20 23:18:00,2017-08-16 05:00:00,CRIM TRESP,,2017-07-21 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,TACM,"NCF, Pending Inv",N,MALE,WHITE,c715ce425b19bd75106e314a720f973b3b6ed768,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,26.2375,3.2671896851467515,0,0,0,0,Time Served,6,6,gross misdemeanor,property,3.0,3.0,property,THEFT 3RD,0,0,1,0,0,0,0,1
19947,44fed6927e3a6496236e4fbe2aae27558935ad0f,2017-02-15 14:52:00,2017-03-08 16:30:00,UPCS,,2017-03-08 20:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Deferred Sentence",17-1-00704-0,SUP,Deferred Sentence,N,MALE,WHITE,340b2c48156bf59f6a142b13dd7abea16f6101c8,0,0,0,0,0,1,0,1,ARIZONA,UNITED STATES OF AMERICA,True,21.06805555555556,3.0477579385815714,0,0,0,0,Deferred Sentence,1,1,class C felony,drug,4.0,5.0,property,POSSESS STOLEN VEHICLE,0,0,1,0,0,0,1,0
19956,450a126cf76f207312142e14b884ed0011a1af3d,2018-03-29 15:55:00,2018-03-30 05:00:00,DWI,,2018-03-30 05:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Time Served",7ZC002032,PD1,Time Served,Y,MALE,WHITE,ae257b01d0dfccac799a16d9cad4d018e3588570,0,0,0,0,0,1,0,1,OREGON,UNITED STATES OF AMERICA,True,0.5451388888888888,-0.606714674787638,0,0,0,0,Time Served,1,1,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
19957,450d9ec8987ffc5321a7857159151730d499b4cb,2017-01-03 09:04:00,2017-02-02 05:00:00,UPCS W INTENT,,2017-02-01 23:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",17-1-00041-0,SUP,Bail Bond,N,MALE,WHITE,b63fb96a639109fa5d62e9177817e09c574828af,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,29.83055555555556,3.3955332224080608,0,0,0,0,Bail Bond,2,2,class C felony,drug,4.0,4.0,drug,UPCS W INTENT,1,0,0,0,0,0,1,0
19958,450d9ec8987ffc5321a7857159151730d499b4cb,2017-01-03 09:04:00,2017-02-02 05:00:00,DWLS/DWLR,,2017-02-01 23:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",17-1-00041-0,SUP,Bail Bond,N,MALE,WHITE,4bf56bc39bffac3606e4187eaeedb6c06d45a486,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,29.83055555555556,3.3955332224080608,0,0,0,0,Bail Bond,2,2,misdemeanor,public_order,2.0,4.0,drug,UPCS W INTENT,1,0,0,0,0,0,1,0
19964,451006135de30ef030367db2f6205657df32e7c4,2016-11-30 01:25:00,2016-12-01 17:55:00,DWLS/DWLR,3RD DEGREE,2016-12-01 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: PR",6Z0903795,TACM,PR,N,MALE,BLACK,a83d9ebad8a70baa28f2493916f5ad86b81579f4,0,0,1,0,0,0,0,1,NEW YORK,UNITED STATES OF AMERICA,True,1.6875,0.5232481437645479,0,0,0,0,Bail Bond,3,3,misdemeanor,public_order,2.0,3.0,public_order,OBSTR PO,0,0,0,1,0,0,0,1
19965,4510375b629565fa3b7c4f5e92a377e12b9def91,2016-12-15 01:19:00,2016-12-16 15:57:00,RESIS ARR,,2016-12-16 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: PR",B254947,TACM,PR,N,MALE,WHITE,c659db09fd71bd80a27a97026bc19d9450163f74,0,0,0,0,0,1,0,1,UTAH,UNITED STATES OF AMERICA,True,1.6097222222222225,0.4760616313296507,0,0,0,0,Check,2,2,misdemeanor,public_order,2.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
19977,451a7e1e1607957e815bf06c2e7a3a404ad90ef4,2017-02-25 17:18:00,2017-02-27 13:25:00,UUW,,2017-02-27 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: PR",B255208,TACM,PR,N,MALE,WHITE,a8703f538ea322a3d75bacf449d1b6d056c26fa9,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,1.8381944444444445,0.608783809657055,0,0,0,0,PR,2,2,civil infraction,public_order,1.0,2.0,public_order,OBSTR PUB SERV,0,0,0,1,0,0,0,1
19978,451a7e1e1607957e815bf06c2e7a3a404ad90ef4,2017-02-25 17:18:00,2017-02-27 13:25:00,OBSTR PUB SERV,,2017-02-27 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: PR",B255208,TACM,PR,N,MALE,WHITE,cd5ab55ae20b272ba3c0dee7f022d2138659ef08,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,1.8381944444444445,0.608783809657055,0,0,0,0,PR,2,2,misdemeanor,public_order,2.0,2.0,public_order,OBSTR PUB SERV,0,0,0,1,0,0,0,1
19988,452883b724c08a734837910f0ca96b8d0f29bcf9,2017-01-06 15:40:00,2017-01-12 09:00:00,ASLT 3,,2017-01-12 09:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: WSI Chain",15-1-04716-9,SUP,WSI Chain,Y,MALE,WHITE,de4f3f372bf788f53900b09a0304a67ee82ceeab,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,5.722222222222222,1.7443572303334711,0,0,0,0,WSI Chain,1,1,class C felony,violent,4.0,4.0,violent,ASLT 3,0,0,0,0,0,1,1,0
20005,453d4db79f834a39a15d6d5b1294cb13167600b8,2018-05-14 16:56:00,2018-05-15 12:30:00,VIO PROT OR /DV,,2018-05-15 18:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PR",D00049817,TACM,PR,N,MALE,BLACK,36e24fa37d70c66c8690bc80445421b11a72c16a,0,0,1,0,0,0,0,1,MISSISSIPPI,UNITED STATES OF AMERICA,True,0.8152777777777778,-0.20422639218200456,0,0,0,0,PR,1,1,gross misdemeanor,public_order,3.0,3.0,public_order,VIO PROT OR /DV,0,0,0,1,0,0,0,1
20006,453f1d7cb3e4bc650f445366f72daff0e2fa97e1,2018-07-19 21:42:00,2018-07-20 16:16:00,PRESC FORGERY,,2018-07-20 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: PR",18-1-02811-8,SUP,PR,N,MALE,WHITE,d94bf03273a49f80d790645b5ddb4cee8e33d622,0,0,0,0,0,1,0,1,,,False,0.7736111111111111,-0.25668597208281696,0,0,0,0,PR,1,1,class C felony,public_order,4.0,4.0,public_order,PRESC FORGERY,0,0,0,1,0,0,1,0
20007,454013d4840681287a817c4fd646297867cef184,2017-11-14 19:35:00,2018-01-22 18:53:00,ASLT 4,,2018-01-19 12:44:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Credit for Time Served",17-1-04009-8,SUP,Credit for Time Served,N,MALE,HISPANIC,d5f4a399dc04c60cef6eda2669f856f06c8a1e3e,0,0,0,1,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,68.97083333333333,4.233683709918173,0,0,0,0,Dismissed,3,3,gross misdemeanor,violent,3.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
20008,454013d4840681287a817c4fd646297867cef184,2017-11-14 19:35:00,2018-01-22 18:53:00,ASLT 4,,2018-01-22 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Dismissed",17L001266,LKM,Dismissed,N,MALE,HISPANIC,21f1a0beff3a005ebac7f525396ea66d5fbffe08,0,0,0,1,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,68.97083333333333,4.233683709918173,0,0,0,0,Dismissed,3,3,gross misdemeanor,violent,3.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
20009,454013d4840681287a817c4fd646297867cef184,2017-11-14 19:35:00,2018-01-22 18:53:00,ASLT 2 -DV,,2018-01-19 12:41:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Credit for Time Served",17-1-04009-8,SUP,Credit for Time Served,N,MALE,HISPANIC,ef19ac388ccf86cd37d1d6bcc0df3847afc387bc,0,0,0,1,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,68.97083333333333,4.233683709918173,0,0,0,0,Dismissed,3,3,class B felony,violent,5.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
20010,45412c000d18134ecfa0e4dadf27fb8e6f89635c,2017-07-26 21:04:00,2017-08-15 05:15:00,POSSESS STOLEN VEHICLE,,2017-07-27 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF Final",,SUP,NCF Final,N,MALE,WHITE,753576dfa3898f787503a853e5554b3194af72ca,0,0,0,0,0,1,0,1,UNKNOWN,UNKNOWN,False,19.340972222222227,2.9622257587834846,0,0,0,0,Time Served,3,3,class B felony,property,5.0,5.0,property,POSSESS STOLEN VEHICLE,0,0,1,0,0,0,1,0
20011,45412c000d18134ecfa0e4dadf27fb8e6f89635c,2017-07-26 21:04:00,2017-08-15 05:15:00,THEFT 3RD,,2017-08-15 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Time Served",B00251513,TACM,Time Served,N,MALE,WHITE,4c1ce5d8e0a0de4413a16c8fe037dc9a9ffcefd6,0,0,0,0,0,1,0,1,UNKNOWN,UNKNOWN,False,19.340972222222227,2.9622257587834846,0,0,0,0,Time Served,3,3,gross misdemeanor,property,3.0,5.0,property,POSSESS STOLEN VEHICLE,0,0,1,0,0,0,1,0
20016,4541c42802dffff75174fbcf99cea8f19773b36e,2016-11-15 18:05:00,2016-12-07 17:00:00,VIO NC ORD /DV,,2016-12-07 20:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Dismissed",D00048133,TACM,Dismissed,N,MALE,BLACK,dcb361b944605d70c6915d910f0f47ba73dc6ac4,0,0,1,0,0,0,0,1,ALABAMA,UNITED STATES OF AMERICA,True,21.95486111111111,3.088988577922667,0,0,0,0,Dismissed,4,4,gross misdemeanor,public_order,3.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
20017,4541c42802dffff75174fbcf99cea8f19773b36e,2016-11-15 18:05:00,2016-12-07 17:00:00,VIO NC ORD /DV,,2016-12-07 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Suspended Sentence",D00048102,TACM,Suspended Sentence,N,MALE,BLACK,c89ca99cd13f37695da810620a14442cf80845cc,0,0,1,0,0,0,0,1,ALABAMA,UNITED STATES OF AMERICA,True,21.95486111111111,3.088988577922667,0,0,0,0,Dismissed,4,4,gross misdemeanor,public_order,3.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
20025,45470e0203c9761a04346145ead76f9665f89db8,2017-08-29 15:06:00,2017-09-01 21:30:00,DWI,,2017-09-01 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",2YC001256,PD1,Bail Bond,N,FEMALE,WHITE,347bb6cfe4be40c1a74760b77350cbfe18ece8c0,0,0,0,0,0,1,1,0,CALIFORNIA,UNITED STATES OF AMERICA,True,3.2666666666666666,1.1837700970084166,0,0,0,0,Bail Bond,2,2,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
20028,4549b08cd3b3dbdcbe81815495555b02534f95d7,2018-01-23 14:10:00,2018-01-23 16:55:00,THEFT 3RD,,2018-01-23 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",B00252840,TACM,Bail Bond,N,FEMALE,BLACK,cb47cc7e6cb0a869112ff5b4c68f133a666d15dc,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.11458333333333333,-2.166452918669466,0,0,0,0,Bail Bond,1,1,gross misdemeanor,property,3.0,3.0,property,THEFT 3RD,0,0,1,0,0,0,0,1
